N,seed,rho,f_elongated,s_max_norm,s_max_norm_2,classification,status
1000,1122578106359740,0.5,0.8504999999999999,0.0172571428571428,0.0187428571428571,0,unjammed
1000,492938554100859,0.5,0.8696285714285713,0.0145285714285714,0.0159428571428571,0,unjammed
1000,170902461924754,0.5,0.8275714285714285,0.0154,0.0161857142857142,0,unjammed
1000,260045648084392,0.5,0.9168142857142856,0.0078571428571428,0.0088857142857142,0,unjammed
1000,450419983107763,0.5,0.8478285714285714,0.0165142857142857,0.0179714285714285,0,unjammed
1000,543308666121182,0.5,0.9626714285714286,0.0031,0.0034571428571428,0,unjammed
1000,593849570694833,0.5,0.8560285714285715,0.011,0.0120142857142857,0,unjammed
1000,582382717235568,0.5,0.8641714285714285,0.0166285714285714,0.0174714285714285,0,unjammed
1000,1123570616129223,0.5,0.8800571428571429,0.0096714285714285,0.0101,0,unjammed
1000,680622798933824,0.5,0.8890999999999998,0.0102285714285714,0.0113428571428571,0,unjammed
1000,201764007966294,0.5,0.8904142857142857,0.0122142857142857,0.0130142857142857,0,unjammed
1000,453356923466257,0.5,0.9256857142857144,0.0058571428571428,0.0064285714285714,0,unjammed
1000,346214149398000,0.5,0.9590285714285716,0.0065285714285714,0.0068857142857142,0,unjammed
1000,353918643079908,0.5,0.8735857142857142,0.0193999999999999,0.0201,0,unjammed
1000,971536625474344,0.5,0.9062142857142856,0.0091142857142857,0.0099571428571428,0,unjammed
1000,799035771825238,0.5,0.9538428571428572,0.0018714285714285,0.0020428571428571,0,unjammed
1000,1114806189928891,0.5,0.8321142857142857,0.0190142857142857,0.0207714285714285,0,unjammed
1000,216465895742590,0.5,0.8473142857142855,0.0253142857142857,0.0265714285714285,0,unjammed
1000,926435018171726,0.5,0.9185142857142858,0.0060999999999999,0.0063714285714285,0,unjammed
1000,744517311885370,0.5,0.9955714285714288,8.571428571428571e-05,8.571428571428571e-05,0,unjammed
1000,812580382463326,0.5,0.9982142857142852,0.0001714285714285,0.0001714285714285,0,unjammed
1000,521742092743191,0.5,0.8578142857142856,0.0191428571428571,0.0206571428571428,0,unjammed
1000,1008612444973162,0.5,0.998185714285714,5.714285714285714e-05,5.714285714285714e-05,0,unjammed
1000,121838283310165,0.5,0.8994142857142856,0.0084,0.0092142857142857,0,unjammed
1000,431006493426170,0.5,0.8781857142857142,0.0118428571428571,0.0122285714285714,0,unjammed
1000,765322069857382,0.5,0.8611857142857142,0.0062285714285714,0.0068571428571428,0,unjammed
1000,725201757884584,0.5,0.7927857142857141,0.0298571428571428,0.0327142857142857,0,unjammed
1000,184656659025018,0.5,0.9936142857142856,0.0008,0.0008428571428571,0,unjammed
1000,1034686135547599,0.5,0.9733428571428572,0.0024571428571428,0.0026285714285714,0,unjammed
1000,380972098894405,0.5,0.7821428571428571,0.0260857142857142,0.0277428571428571,0,unjammed
1000,742183958399040,0.5,0.9348,0.0058857142857142,0.0063857142857142,0,unjammed
1000,37852570490343,0.5,0.9952714285714284,7.142857142857142e-05,7.142857142857142e-05,0,unjammed
1000,734109262104827,0.5,0.8838142857142857,0.0163999999999999,0.0168428571428571,0,unjammed
1000,401686787590537,0.5,0.9224428571428572,0.0075571428571428,0.0081,0,unjammed
1000,350020380685320,0.5,0.9466714285714284,0.0038,0.0041285714285714,0,unjammed
1000,484612500106051,0.5,0.9775285714285716,0.0013714285714285,0.0016428571428571,0,unjammed
1000,604884003999171,0.5,0.8756285714285714,0.0136714285714285,0.0150428571428571,0,unjammed
1000,501697692195937,0.5,0.7666571428571429,0.0278999999999999,0.0305857142857142,0,unjammed
1000,851083349436041,0.5,0.8722142857142858,0.0227142857142857,0.0238142857142857,0,unjammed
1000,796940938751527,0.5,0.9305714285714286,0.0070999999999999,0.0079714285714285,0,unjammed
1000,7713914261614,0.5,0.8404714285714284,0.0144142857142857,0.0155285714285714,0,unjammed
1000,1099062448631258,0.6,0.9273428571428568,0.0029714285714285,0.0032285714285714,0,unjammed
1000,853827592514924,0.6,0.8027285714285715,0.0260142857142857,0.0268,0,unjammed
1000,1052030010736714,0.6,0.9955571428571428,0.0,0.0,0,unjammed
1000,993068073743470,0.6,0.7336571428571429,0.0313857142857142,0.034,0,unjammed
1000,375074238073900,0.6,0.7396142857142858,0.0430571428571428,0.0457714285714285,0,unjammed
1000,416178520884477,0.6,0.7710714285714286,0.0283857142857142,0.0302857142857142,0,unjammed
1000,874051135843279,0.6,0.8325857142857142,0.0191285714285714,0.0202,0,unjammed
1000,12944511869278,0.6,0.7922571428571429,0.0380857142857142,0.0404428571428571,0,unjammed
1000,542029227742456,0.6,0.7877714285714287,0.0259428571428571,0.0276857142857142,0,unjammed
1000,1011744331896734,0.6,0.8199571428571428,0.0258857142857142,0.0276142857142857,0,unjammed
1000,211701226972609,0.6,0.7584714285714286,0.0327714285714285,0.0351857142857142,0,unjammed
1000,292918525777755,0.6,0.8630428571428572,0.0156857142857142,0.0163571428571428,0,unjammed
1000,731147908347497,0.6,0.7724428571428572,0.0258714285714285,0.0283428571428571,0,unjammed
1000,985549376192247,0.6,0.6545142857142858,0.0651714285714285,0.0703571428571428,0,unjammed
1000,873456432950595,0.6,0.9532142857142858,0.0022285714285714,0.0024,0,unjammed
1000,422219896800918,0.6,0.7902285714285714,0.0251,0.0266999999999999,0,unjammed
1000,900740014674953,0.6,0.7835714285714287,0.0346714285714285,0.0380571428571428,0,unjammed
